task_id,tool_name,success,reliability_score,reliability_method
85,tool_a,1,0.972495,ewma
86,tool_a,1,0.980747,ewma
87,tool_a,0,0.686523,ewma
88,tool_a,1,0.780566,ewma
89,tool_a,1,0.846396,ewma
90,tool_a,1,0.892477,ewma
91,tool_a,1,0.924734,ewma
92,tool_a,1,0.947314,ewma
93,tool_a,1,0.96312,ewma
94,tool_a,1,0.974184,ewma
95,tool_a,1,0.981929,ewma
96,tool_a,1,0.98735,ewma
97,tool_a,0,0.691145,ewma
98,tool_a,1,0.783802,ewma
99,tool_a,0,0.548661,ewma
100,tool_a,1,0.684063,ewma
